feature,bucket,horizon_d,sample_count,is_underpowered,mean_return,median_return,winsorized_mean_return_5pct,std_return,hit_rate,p10_return,p90_return,mean_simple_net_return,mean_close_mae,mean_close_mfe,universe
above_ma20_streak,0,5,5641,false,0.002869865386652446,0.003629764065335772,0.0028124497464268117,0.06087752286980938,0.5279205814571885,-0.06126482213438733,0.0640394088669951,-0.002980134613347554,-0.025545670307560758,0.02258282825874358,all
above_ma20_streak,1-2,5,1351,false,0.002412887992388027,0.0,0.0010730201490159622,0.05473086989757762,0.48704663212435234,-0.0556464811783961,0.060869565217391175,-0.0034371120076119683,-0.0230191842954665,0.02229136233261235,all
above_ma20_streak,10+,5,2729,false,0.006573032757468571,0.0,0.0035143740283020307,0.0702374761936749,0.48515939904727007,-0.059763530691450614,0.08066009779226564,0.0007230327574685713,-0.023485394848545844,0.03148438754593226,all
above_ma20_streak,3-5,5,1086,false,0.0034065779734927353,0.0,0.0014491173070477258,0.06103924374193919,0.4880294659300184,-0.058134761816801106,0.06471878739529324,-0.0024434220265072666,-0.02260878745310758,0.02606111411908566,all
above_ma20_streak,6-10,5,1151,false,0.004757034091481433,0.0,0.0024014762383518617,0.06441758019505527,0.48653344917463076,-0.06178861788617884,0.076829268292683,-0.0010929659085185661,-0.02178761180869676,0.0284356722992916,all
above_ma20_streak,0,10,5637,false,0.010689107328579465,0.005597014925373012,0.0075813640508745825,0.08063605848508966,0.5382295547276921,-0.07322462483752804,0.09687705254515602,0.004839107328579467,-0.03638926661494975,0.041909756460298375,all
above_ma20_streak,1-2,10,1351,false,0.013439946684137125,0.004424778761061843,0.008775279141873963,0.08205001831714842,0.5314581791265729,-0.06818181818181823,0.0957446808510638,0.007589946684137128,-0.03423890233092102,0.045003222814630775,all
above_ma20_streak,10+,10,2727,false,0.01726153229760584,0.0034482758620690834,0.010843320658510232,0.0977261834144539,0.5185185185185185,-0.07319120135363792,0.1218326953107975,0.011411532297605838,-0.03615562141361558,0.055348676224683584,all
above_ma20_streak,3-5,10,1086,false,0.013859351317525947,0.0018587424812483988,0.0064986610806751855,0.0958511556956768,0.509208103130755,-0.06910539008292432,0.09805306186095208,0.008009351317525948,-0.03554778188236015,0.049124109082657,all
above_ma20_streak,6-10,10,1151,false,0.017741503357128638,0.006858710562414272,0.012965329325971138,0.0876387572967799,0.5447437011294527,-0.06892778993435444,0.1149228130360207,0.01189150335712864,-0.03259521337472975,0.05237918849846064,all
above_ma20_streak,0,20,5619,false,0.01563312682862729,0.006521739130434634,0.009599071934773808,0.11496238920132965,0.5308773803167823,-0.10245751216787682,0.1368784539090216,0.00978312682862729,-0.05479761991457656,0.06968979452591983,all
above_ma20_streak,1-2,20,1348,false,0.02344116471703808,0.0077873118866417235,0.015443560051244597,0.1264665945208206,0.5415430267062314,-0.09298873096341452,0.15160277473530492,0.017591164717038085,-0.05039003720387046,0.07803356624143579,all
above_ma20_streak,10+,20,2711,false,0.025919239868611128,0.0027855153203342198,0.013774150790977257,0.14816791800249735,0.5082995204721505,-0.11233701103309934,0.1830357142857142,0.020069239868611127,-0.055837919925435714,0.0904335200573827,all
above_ma20_streak,3-5,20,1085,false,0.02246664335908241,0.0022371364653241965,0.010718861119572088,0.14109402654025946,0.5050691244239631,-0.09956575758694076,0.14341846758349708,0.016616643359082413,-0.052075833547988754,0.08141325974021482,all
above_ma20_streak,6-10,20,1150,false,0.02631195933611471,0.008608764389111179,0.01806190111267896,0.12889032431739747,0.5382608695652173,-0.098433978280596,0.17835676129114938,0.02046195933611471,-0.04921580870627656,0.08382951199774252,all
above_ma20_streak,0,5,1,true,0.15254237288135597,0.15254237288135597,,,1.0,,,0.14669237288135598,0.008474576271186418,0.27966101694915246,top200
above_ma20_streak,10+,5,1,true,0.2972027972027973,0.2972027972027973,,,1.0,,,0.2913527972027973,0.09965034965034958,0.2972027972027973,top200
above_ma50_streak,0,5,5453,false,0.0035386940803064084,0.00366300366300365,0.0033586355574187045,0.058853847738690096,0.527599486521181,-0.05771648372267562,0.06414049911307892,-0.0023113059196935926,-0.024339480529807504,0.022749772361041268,all
above_ma50_streak,1-2,5,712,false,-0.001188193614635876,0.0,-0.0012419092493307824,0.053893571770289736,0.4845505617977528,-0.06014072614691811,0.05379962079032105,-0.007038193614635874,-0.024986120930133613,0.019052113478271564,all
above_ma50_streak,10+,5,4003,false,0.004787406598005864,0.0,0.002443911490821357,0.07028915071843758,0.4853859605296028,-0.06587602417327318,0.07945288511384935,-0.0010625934019941343,-0.025107135987327483,0.029540999100718064,all
above_ma50_streak,3-5,5,653,false,0.001311237467550653,-0.0015847860538826808,-0.0009244690035213855,0.05953616677252999,0.4670750382848392,-0.056377020886900754,0.049180327868852514,-0.004538762532449348,-0.021920279243080938,0.02485345991487098,all
above_ma50_streak,6-10,5,727,false,0.007695558195095902,0.0010593220338981357,0.003911206918540455,0.06321596108617607,0.5006877579092159,-0.05474873261953341,0.07615785554728215,0.0018455581950959019,-0.01832696703490756,0.030739104499168123,all
above_ma50_streak,0,10,5450,false,0.011760808944864802,0.0058365979674105395,0.008520144376260776,0.0780592044308954,0.5429357798165138,-0.07016408425767309,0.0962817084042466,0.005910808944864803,-0.03493552298070705,0.04203258842735376,all
above_ma50_streak,1-2,10,712,false,0.007901370287760627,0.0024257765121552533,0.003849845262204895,0.08011456726785028,0.5070224719101124,-0.07913578248907585,0.09261806873286949,0.002051370287760628,-0.036544608061127026,0.04052517816601546,all
above_ma50_streak,10+,10,4000,false,0.016989830060498926,0.00453257935865925,0.010999995321815895,0.09863004630715902,0.5235,-0.07619519094766615,0.12180924854622548,0.011139830060498923,-0.03779827330022263,0.05457202942457977,all
above_ma50_streak,3-5,10,653,false,0.014692042522337643,0.005025125628140614,0.007354885298077158,0.09171868309840744,0.5237366003062787,-0.05943752070749546,0.08921901028907402,0.008842042522337645,-0.033149532659229805,0.047189040852771064,all
above_ma50_streak,6-10,10,727,false,0.017593803449004394,0.00536193029490617,0.012339465394509695,0.08605321784106201,0.5433287482806052,-0.05568685405085046,0.10851584699453551,0.01174380344900439,-0.029148768263756567,0.05184431254615149,all
above_ma50_streak,0,20,5431,false,0.014425635915261806,0.005597014925373234,0.009198548101354197,0.10884386755226154,0.5275271589025962,-0.09906542056074763,0.1316725978647686,0.008575635915261804,-0.0528053715010787,0.06756434924891909,all
above_ma50_streak,1-2,20,711,false,0.017208238014091378,0.0,0.0066731748978694095,0.14338093561949564,0.4908579465541491,-0.10588235294117643,0.1572700296735905,0.011358238014091379,-0.055316476960314484,0.07239313408128328,all
above_ma50_streak,10+,20,3983,false,0.030204233752042384,0.006305170239596425,0.01871769278479694,0.1462504791584233,0.530002510670349,-0.107396679774202,0.18911459786036094,0.024354233752042386,-0.05629676472573352,0.09194726556675258,all
above_ma50_streak,3-5,20,653,false,0.021307127320155952,0.004474272930648837,0.009093744930231419,0.14881433520541942,0.5099540581929556,-0.09751682279984161,0.1280403951332684,0.015457127320155955,-0.05041956916193952,0.07872639822719184,all
above_ma50_streak,6-10,20,725,false,0.021925640546642627,0.007092198581560183,0.014758204670421673,0.11712406583286893,0.5351724137931034,-0.0927761561817035,0.14461088783339424,0.016075640546642633,-0.04687910522084147,0.08086888166329004,all
above_ma50_streak,0,5,1,true,0.15254237288135597,0.15254237288135597,,,1.0,,,0.14669237288135598,0.008474576271186418,0.27966101694915246,top200
above_ma50_streak,10+,5,1,true,0.2972027972027973,0.2972027972027973,,,1.0,,,0.2913527972027973,0.09965034965034958,0.2972027972027973,top200
ma20_reclaim_confirmed,0,5,6992,false,0.0027815678380753244,0.003036440357611525,0.002488541995860043,0.059735697987468965,0.5200228832951945,-0.05933838883393785,0.06343283582089554,-0.0030684321619246736,-0.0250575005989882,0.022526510972387278,all
ma20_reclaim_confirmed,1-2,5,717,false,0.002972377356027265,0.0,0.0007583745498525725,0.06088199079484291,0.4783821478382148,-0.05562435500515992,0.060941311522456604,-0.0028776226439727343,-0.02251274352479806,0.025332651327303907,all
